UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-1.8000034,-6.14975,9.072641,17.768982,10.818387,18.534454,18.377913,15.46407,-2.7750335,-7.193904,-4.6760726,-7.503218
-2.5702543,-2.2408578,10.8448515,14.401885,12.207122,15.1575985,18.758377,11.982173,-4.022686,-3.8722827,-6.357575,-4.490555
-5.767281,-4.8651733,13.105829,17.35932,14.316012,18.09329,21.639818,13.364656,-1.0133687,-5.74516,-3.100801,-6.0872936
-5.721486,-4.8905945,13.175119,17.511147,14.308846,18.168526,21.647322,13.431951,-1.0445809,-5.6668644,-2.9213893,-6.145471
-1.569188,-1.6228404,9.866963,13.099001,11.062166,14.421252,17.016699,11.696884,-2.2774985,-2.9197803,-4.9747434,-3.1091568
-1.9102577,-2.8114552,9.843111,14.528136,11.3588915,15.43738,17.600359,12.297347,-2.6159158,-3.6990232,-5.239193,-4.0950117
-5.5652895,-4.808438,13.022449,17.34419,14.312824,18.09292,21.52057,13.4714,-1.1187232,-5.6518197,-3.1313317,-6.0661693
-5.493404,-5.2089477,12.846352,17.45444,14.282761,18.339624,21.370054,13.722646,-0.90528965,-5.5345016,-2.9872694,-5.997518
-3.3509543,0.15777847,11.921451,12.002463,13.018157,12.795899,18.17099,9.518018,-4.3715973,-1.9315339,-7.264516,-2.184853
-2.3927872,-1.843932,11.099923,13.742522,12.24399,14.406956,18.421381,11.318807,-3.9880383,-3.0349164,-6.4745226,-3.3247797
-6.173554,-1.3432243,14.185866,13.658966,15.274986,13.760449,20.59848,9.637098,-6.5767384,-3.043607,-9.201599,-3.5026395
-5.5293694,-4.564792,13.184499,17.077576,14.586672,17.78834,21.424295,13.354052,-1.0788305,-5.585995,-3.2323499,-6.0939875
1.0614038,-4.341095,6.808763,15.207616,8.303724,16.34745,15.306014,14.497671,0.53761923,-4.002232,-2.0714178,-3.8475742
-3.0265927,-1.4292679,10.825487,13.446548,11.726322,14.17386,18.041965,11.226661,-3.3769095,-2.9170265,-6.6434784,-3.1183224
-5.453974,-5.1940446,12.76829,17.603884,14.051591,18.336502,21.35936,13.819056,-0.9397982,-5.4206533,-3.0425682,-5.8871784
-3.2312925,-6.083306,10.352411,17.94945,12.0028515,18.645557,19.713955,15.236569,-4.122046,-7.1490746,-6.072685,-7.41799
-5.5391836,-4.7727375,13.09421,17.308743,14.472795,17.970097,21.511494,13.480528,-1.1347827,-5.5940905,-3.1860158,-6.040312
-5.556016,-5.1652026,12.910905,17.533915,14.189555,18.18405,21.373804,13.873406,-1.0560322,-5.3661737,-3.0978858,-5.6239305
-5.673101,-4.7404284,13.135257,17.269215,14.497302,17.914995,21.573305,13.52435,-1.0965613,-5.675232,-3.1200817,-6.1699166
2.4259324,-3.5180137,5.393506,13.757725,6.650982,15.331037,14.296223,13.501976,0.5970664,-2.5113611,-2.39942,-2.361921
-5.706963,-5.080963,13.010782,17.545097,14.219858,18.290276,21.578163,13.796977,-0.795361,-5.464949,-2.9112797,-5.7739763
-5.5587835,-4.692231,13.023672,17.342066,14.524178,18.064379,21.542677,13.495318,-1.0854832,-5.729433,-3.0995414,-6.2149935
-4.680769,-1.6783932,12.684057,14.436438,14.196107,14.861986,20.501574,11.036655,-5.5029097,-3.6605036,-7.942211,-4.4948792
-5.3250065,-4.7408757,12.955735,17.269152,14.542185,17.813835,21.324339,13.465163,-1.3991418,-5.688584,-3.2296586,-6.132538
-5.6860614,-5.0117583,12.975205,17.530945,14.241553,18.155449,21.490126,13.720941,-0.96451616,-5.527778,-3.114298,-5.872698
-5.573965,-5.1968007,12.930581,17.64346,14.199791,18.264866,21.431421,13.784856,-0.9480134,-5.482834,-2.933019,-5.7787275
-5.609414,-4.739398,13.059264,17.253687,14.449713,17.915499,21.544296,13.478624,-1.1361668,-5.7113357,-3.1897771,-6.139727
-5.2859626,-5.031076,12.607065,17.456354,14.190924,18.073542,21.305689,13.729817,-1.2040592,-5.370038,-3.0668037,-5.794067
-5.3253903,-1.5872447,13.441083,14.017196,14.770516,14.534843,20.544483,10.345749,-5.9555016,-3.076303,-8.638304,-4.0154366
-2.6173077,0.09473559,11.547905,12.065758,12.184712,12.777007,17.777193,9.943365,-4.1539874,-1.7656641,-7.1034245,-2.312284
2.40124,-4.4008007,5.545308,14.894612,7.1681266,16.523317,14.232538,14.643228,1.5567442,-3.2334597,-1.1648315,-3.0922823
