feature,importance,type
lymph_nodes_examined_positive,0.22542185784119215,clinical
tumor_size,0.14116565363853883,clinical
age_at_diagnosis,0.10636474309352774,clinical
pam50_+_claudin-low_subtype_LumA,0.10033906274187712,clinical
primary_tumor_laterality_Right,0.09934459559987356,clinical
tumor_stage_unknown,0.09422868016509363,clinical
pik3ca_mut,0.08455374641458929,mutation
tp53_mut,0.0842308917278309,mutation
gata3_mut,0.08039746773256748,mutation
inferred_menopausal_state_Pre,0.06042033779423362,clinical
pam50_+_claudin-low_subtype_LumB,0.05361666663170413,clinical
tumor_stage_1.0,0.05016825580969453,clinical
mutation_count,0.04903761949019638,clinical
pam50_+_claudin-low_subtype_Normal,0.048016327439037,clinical
her2_status_Positive,0.044519455939600314,clinical
cancer_type_detailed_clean_Breast Mixed Ductal and Lobular Carcinoma,0.03823199629335216,clinical
kmt2c_mut,0.03748837448541581,mutation
primary_tumor_laterality_Unknown,0.03741602602207826,clinical
pam50_+_claudin-low_subtype_claudin-low,0.03535651273732246,clinical
syne1_mut,0.033526435436933864,mutation
pr_status_Positive,0.03123247930219535,clinical
tmb,0.030866323286363132,mutation
muc16_mut,0.030673591307950793,mutation
cdh1_mut,0.030213053361225276,mutation
ahnak2_mut,0.025026144413582918,mutation
neoplasm_histologic_grade,0.018001021744437844,clinical
ryr2_mut,0.017545539103908304,mutation
arid1a_mut,0.017089740834543826,mutation
birc6_mut,0.01594478737298445,mutation
dnah5_mut,0.015696565681593465,mutation
tumor_stage_2.0,0.014845292816668612,clinical
utrn_mut,0.014582845276037667,mutation
akap9_mut,0.014405645838978895,mutation
kmt2d_mut,0.013610038382466882,mutation
pde4dip_mut,0.012819902602019777,mutation
tumor_stage_3.0,0.01223340597942207,clinical
tg_mut,0.011577386221025885,mutation
cancer_type_detailed_clean_Breast Invasive Lobular Carcinoma,0.011079532228680442,clinical
er_status_Positive,0.011008138675494177,clinical
col6a3_mut,0.009988428655178946,mutation
dnah11_mut,0.009498889874207017,mutation
pam50_+_claudin-low_subtype_Her2,0.008959971666896578,clinical
cancer_type_detailed_clean_Other,0.008433003322419676,clinical
cellularity_Moderate,0.006350021360891266,clinical
cellularity_Unknown,0.005279386700648401,clinical
herc2_mut,0.0038532553263467204,mutation
pam50_+_claudin-low_subtype_NC,0.0036498567274122003,clinical
cellularity_Low,0.0035848488388452366,clinical
ahnak_mut,0.0032516825144216594,mutation
dnah2_mut,0.0031259683398589624,mutation
ush2a_mut,0.002761144927982665,mutation
tbx3_mut,0.002107738062371909,mutation
map3k1_mut,0.0013783316320583523,mutation
tumor_stage_4.0,0.0007896882332401511,clinical
cancer_type_detailed_clean_Unknown,0.00022578169448002252,clinical
