gene,importance
stat5a,0.014679888518025737
aurka,0.012650663950123011
vegfa,0.01262906104116548
apaf1,0.012449975800850385
bcl2,0.012136733470234267
bmf,0.01153435471683168
smad6,0.011485399251201378
cdkn2c,0.011268473568342426
fn1,0.01120367854960977
mmp11,0.011029068236623734
stat5b,0.010742128199063295
jag2,0.010415168570685682
cdk2,0.010192978734513967
hes6,0.010029344619995216
e2f7,0.009874679132522426
maml1,0.009677115635258955
src,0.009653203268027466
erbb2,0.009633526391696621
pdgfb,0.00955221220135206
tubb4b,0.009475205823755571
mdc1,0.009462337071532984
notch3,0.009372280327392062
st7,0.009355075687628054
rps6kb2,0.009258372350432406
pik3r2,0.009064325290811538
rad51,0.009032094316965267
akt1,0.008928056794390198
map2k4,0.008885209188828872
hes4,0.008544523668573967
pten,0.008391563886438413
cdk4,0.008330383895512298
mmp9,0.008282548299160416
cxcl8,0.00819988140907133
flt3,0.008016287135612884
fgf2,0.007998080028974746
abcb1,0.007961155857336973
smarcd1,0.00796052524150088
col12a1,0.007940070093865622
serpini1,0.007872577010498333
e2f8,0.007826906345189294
raf1,0.007749011936808798
ackr3,0.007741084802220917
tbx3,0.007551919182058128
map3k3,0.007528170685304144
dll4,0.007391937387654724
rassf1,0.007331313298273915
e2f2,0.007153733868119475
spen,0.0070990278335751065
ptk2,0.007093646664835421
tsc2,0.0070509230373082335
notch1,0.007045113460789152
diras3,0.007004050592288955
ryr2,0.006951984311393814
asxl2,0.006951115054301193
jak2,0.006942741443029341
bmpr1b,0.006937933083547789
cdk1,0.006914543877675537
map3k13,0.006904876481431854
mmp1,0.00685525602337877
hsd17b4,0.006849502402243992
foxp1,0.00684151904875133
abcc10,0.00682370181111989
ppp2r2a,0.006817325804284472
mmp15,0.006771875536015265
mmp2,0.006759610695963253
col6a3,0.006757491885282174
vegfb,0.006713432886016686
asxl1,0.006702470006204726
aph1b,0.006658419250246048
mmp24,0.006596096011395994
eif4ebp1,0.006581539159531441
foxo3,0.006567921071884349
ncor2,0.006556448980922546
tgfbr3,0.006495547753757695
fancd2,0.0064901608928822595
rbpj,0.006480072196455009
ccne1,0.0064653015104587765
lifr,0.006462645859216907
pdgfrb,0.006430717503940006
ncoa3,0.0064055346410671595
hsd17b13,0.006373840875357367
ahnak2,0.00635841840317476
dtx2,0.006324151817302158
setd2,0.00627714023783393
rbl1,0.006234901338454317
map3k4,0.006180362666973339
hla-g,0.0061633462702485745
wfdc2,0.006160458709119767
myh9,0.006158832307702186
bard1,0.006118448799563822
smarcb1,0.006106691082541821
ep300,0.006100528246659249
nfkb1,0.006056903160731087
egfr,0.005934463644678791
dlec1,0.005898031939517593
kdm3a,0.00581546895204223
bmp3,0.005801770674002366
folr3,0.005751223836841185
mapk8,0.0056783673778597775
arrdc1,0.005596859983586596
met,0.0055908628842666706
slc29a1,0.005522591957079935
stat2,0.005520655007869748
nrip1,0.005481343724242811
stmn2,0.005456887444630793
gata3,0.0054107102480513815
prkcz,0.0053933665331829545
ccnb1,0.005371314413356164
twist1,0.005368774440846468
hsd17b8,0.005356990236903607
mapk4,0.00534947198701098
rptor,0.005315733646624228
mapk7,0.005290452065006927
ctnna1,0.005273321583467524
star,0.005220606364246909
prkg1,0.005210206562960846
mmp26,0.00520935675799985
acvr1b,0.005203418320467824
e2f1,0.0051923168801205274
tnk2,0.0051838232101209
inha,0.005149448684702337
cdc25a,0.005084446961080647
men1,0.005077655351672625
prkacg,0.005071129925194788
myc,0.0050569457907279425
itch,0.004984469661082956
adam17,0.004930995318676213
hes2,0.004890520681275797
hdac9,0.00489026895591024
brca2,0.004872472150560093
mecom,0.00485459405350681
bmp7,0.004844655769970196
hey2,0.0048220666792882
mmp21,0.0048049564364775485
casp3,0.004768823638116786
e2f4,0.004749711969093313
ubr5,0.004732386770064524
akr1c3,0.004704808131613008
dll1,0.0046930257305174234
thada,0.004680896646055929
gsk3b,0.004661228328474447
smad2,0.0046548989372313596
cdkn1b,0.004592602632556009
acvr1,0.004572790793277526
smad3,0.004566204722839667
npnt,0.00454365167086979
hras,0.00451218624647324
mmp16,0.0045090286011718154
mapt,0.004482991048793517
stat1,0.004412558489865446
mmp13,0.004387562163724341
ctbp1,0.004361121505267134
shbg,0.004336143827252407
srd5a2,0.004307429439455676
map2k3,0.004297882898841344
smarcc1,0.004282401035197836
e2f3,0.004269375294443532
ctbp2,0.004260856109020232
rps6,0.004247503901998793
prr16,0.004219879010603153
bcas3,0.004195124765844389
cir1,0.004184967922462678
myo3a,0.004117471305949881
bad,0.004098677862839956
psenen,0.004091568126164525
afdn,0.004070363071589804
tgfbr1,0.004038079418281951
msh6,0.003995699616479899
cbfb,0.003993721711886781
mmp27,0.003972496360280207
dnah5,0.003909611192598895
gdf2,0.0038985092559201285
arid2,0.0038943734332097385
nrg3,0.003888952871851657
siah1,0.0038812120353570187
rps6kb1,0.0038427999757594217
smad7,0.003836637056138774
slco1b3,0.0037892074165758885
sptbn1,0.003780715701042128
nek1,0.003764011726464863
rps6ka1,0.0037413675426262076
smarcc2,0.0037373104902638453
mapk14,0.0037319402896162186
igf1r,0.0037269507510144548
kit,0.0037093023752585857
setd1a,0.003683669236116421
utrn,0.003665689441097556
lfng,0.0036369091593135153
numbl,0.003590338209449575
gps2,0.0035730514247556983
apc,0.0035654730396586665
slc19a1,0.003557698775155047
cacna2d3,0.00354459909865707
chek1,0.0035313066275171247
klrg1,0.003518442680357156
tg,0.003506891434398436
map2k5,0.003484004190847462
hist1h2bc,0.0034795451992843843
spry2,0.0034751630520374567
atm,0.0034739722721603616
abcc1,0.0034717005549234755
prkce,0.0034685521052689396
acvr2a,0.0034574466662499396
abcb11,0.003436571124009586
pdgfa,0.003432265038947752
ptpn22,0.003421355310758462
ran,0.0033810752138940447
mapk12,0.0033737590392943443
aff2,0.003332671035044162
hsd17b6,0.003312820410104467
nt5e,0.003306314017387183
hif1a,0.0033000439663252155
cdk8,0.0032822648836358503
large1,0.003267127196825944
sik2,0.0032648337668844908
itgav,0.003256133995555389
tsc1,0.003251572060940412
mmp23b,0.0032454126150438987
palb2,0.003245097135136965
smad5,0.003224047951291988
cyp3a5,0.0032081557018062558
nr3c1,0.0031919487320981625
map3k1,0.0031857135967146423
akt3,0.0031598964231329494
map2,0.0031316143269330857
smad1,0.003120308261828333
muc16,0.003107183169577408
clrn2,0.003087125443168285
heyl,0.003081161904408474
chek2,0.003074223924832714
wwox,0.0030640639640919457
plagl1,0.0030469375043479393
mmp25,0.0030387395403842538
rpgr,0.0030333033232271887
