feature,importance,type
lymph_nodes_examined_positive,0.2296516186195529,clinical
tumor_size,0.14376643514760085,clinical
age_at_diagnosis,0.10627992298441102,clinical
pam50_+_claudin-low_subtype_LumA,0.10131091553211947,clinical
primary_tumor_laterality_Right,0.0995067095004574,clinical
tumor_stage_unknown,0.09572141496234654,clinical
pik3ca_mut,0.08518532695777623,mutation
tp53_mut,0.08466257904598742,mutation
gata3_mut,0.08281375986903354,mutation
inferred_menopausal_state_Pre,0.060024800503419504,clinical
pam50_+_claudin-low_subtype_LumB,0.05465168965819441,clinical
tumor_stage_1.0,0.05225926742279603,clinical
mutation_count,0.050197856591144105,clinical
pam50_+_claudin-low_subtype_Normal,0.048603513473529876,clinical
her2_status_Positive,0.044775690558584935,clinical
cancer_type_detailed_clean_Breast Mixed Ductal and Lobular Carcinoma,0.03850830912900468,clinical
primary_tumor_laterality_Unknown,0.03841194388008228,clinical
kmt2c_mut,0.03782022847035141,mutation
pam50_+_claudin-low_subtype_claudin-low,0.03731324019652136,clinical
syne1_mut,0.03510933517432415,mutation
pr_status_Positive,0.0317533949332924,clinical
muc16_mut,0.031670658113319934,mutation
tmb,0.031000724663129035,mutation
cdh1_mut,0.03069648052347295,mutation
ahnak2_mut,0.025117112602912793,mutation
ryr2_mut,0.018102948680336094,mutation
arid1a_mut,0.017931686812022955,mutation
neoplasm_histologic_grade,0.016804112075067365,clinical
dnah5_mut,0.016165633436797593,mutation
birc6_mut,0.01569732719382708,mutation
tumor_stage_2.0,0.015266018153425525,clinical
utrn_mut,0.014713459958632788,mutation
akap9_mut,0.01455339594287108,mutation
pde4dip_mut,0.014228005233841637,mutation
kmt2d_mut,0.013867822472138308,mutation
tumor_stage_3.0,0.012379395155333857,clinical
tg_mut,0.01197552377131059,mutation
cancer_type_detailed_clean_Breast Invasive Lobular Carcinoma,0.01170613170877375,clinical
col6a3_mut,0.01036533178535418,mutation
er_status_Positive,0.010201035001641068,clinical
dnah11_mut,0.009607911363235433,mutation
cancer_type_detailed_clean_Other,0.008710923485377412,clinical
pam50_+_claudin-low_subtype_Her2,0.007710096588894369,clinical
cellularity_Moderate,0.006796356474700992,clinical
cellularity_Unknown,0.005328075183457752,clinical
herc2_mut,0.003855861372349628,mutation
ush2a_mut,0.003789820107315645,mutation
pam50_+_claudin-low_subtype_NC,0.003734548557492226,clinical
ahnak_mut,0.003429654127294158,mutation
cellularity_Low,0.003179804047137207,clinical
dnah2_mut,0.002551190886561578,mutation
tbx3_mut,0.002174318038429293,mutation
map3k1_mut,0.0018444321831282897,mutation
tumor_stage_4.0,0.0007980455770904636,clinical
cancer_type_detailed_clean_Unknown,0.00022047573850018741,clinical
