gene,importance
stat5a,0.014701734495314735
vegfa,0.012877796403688675
aurka,0.012803363377001298
bcl2,0.012512498618350408
apaf1,0.012479039897167846
smad6,0.0118379710767144
bmf,0.011564805484845743
fn1,0.011354417386978583
cdkn2c,0.011213659093996678
mmp11,0.011101574114204763
stat5b,0.01087288137108509
jag2,0.010709073833587117
cdk2,0.010163644108284464
hes6,0.010021686583305931
e2f7,0.009902380574967088
maml1,0.009859433274329974
src,0.009737038972557625
erbb2,0.009697301108835633
pdgfb,0.00963398852040826
tubb4b,0.009516325208096532
rps6kb2,0.009515415847202764
mdc1,0.009501167252039274
st7,0.009401119202973658
notch3,0.009398842966186715
map2k4,0.00932575048306189
pik3r2,0.009157072121362023
rad51,0.008973143046721727
akt1,0.008882135530942002
hes4,0.008698317296903828
pten,0.008646394424723428
mmp9,0.008460447042883365
cdk4,0.008445976678833603
cxcl8,0.008376626226935862
fgf2,0.008089935956876964
e2f8,0.008037002652650295
smarcd1,0.008035917640275633
flt3,0.00802276066208294
abcb1,0.008014065725215735
raf1,0.007935531229594306
col12a1,0.007867193096924692
serpini1,0.007813845111381796
ackr3,0.007778950687657296
tbx3,0.007680328676536944
map3k3,0.007587813642621656
dll4,0.007535475411041991
rassf1,0.007299477931312903
diras3,0.007292443998289574
notch1,0.007276017108274068
bmpr1b,0.007230610125308301
e2f2,0.007205870012271196
ptk2,0.007132289673892147
spen,0.0070752094286434175
ryr2,0.007068398215116399
cdk1,0.007049974346763138
tsc2,0.007036855626581571
map3k13,0.0070221681249778255
jak2,0.007017360858487145
ppp2r2a,0.00698567194079114
hsd17b4,0.0069691281552686744
asxl2,0.006927861316668255
abcc10,0.00688446642020552
asxl1,0.006865985584364566
foxp1,0.006860811404698729
mmp2,0.00683057610522043
vegfb,0.006802328786121776
aph1b,0.006766069903340305
mmp1,0.006765687711513126
eif4ebp1,0.006723351992178199
foxo3,0.0067177176333896365
mmp15,0.006716472846010444
mmp24,0.006703321900260315
col6a3,0.00669692797078195
tgfbr3,0.0066574494599080936
ncoa3,0.006564847867445151
rbpj,0.006547430947193789
ahnak2,0.006544151846675824
hsd17b13,0.006529724003114636
lifr,0.006500873534650403
fancd2,0.00649162564862331
ncor2,0.006459306649608826
ccne1,0.006457722627814808
dtx2,0.006407773387943535
setd2,0.00639355798276879
pdgfrb,0.006383149023871805
wfdc2,0.0063803119307668105
hla-g,0.0063474595337179324
map3k4,0.00630025201486138
nfkb1,0.006253713298103018
bard1,0.0061991748675497135
ep300,0.006189522067157713
rbl1,0.006159321498879213
smarcb1,0.00608518601923348
myh9,0.006063874498752817
dlec1,0.006044425566441824
egfr,0.006021861614914806
folr3,0.005801189729431321
mapk8,0.0057954814557753575
nrip1,0.005777993147187963
bmp3,0.00571635419001487
kdm3a,0.0057066684509257445
met,0.00566716525974451
gata3,0.005654791122792013
prkcz,0.00559213320151443
stat2,0.00557067566700268
slc29a1,0.005567619160298122
twist1,0.005537184368351496
stmn2,0.00546442691752053
arrdc1,0.005456618321561087
ccnb1,0.0054210983810965745
rptor,0.0053808629081602164
acvr1b,0.00537012681328027
hsd17b8,0.005342435749987741
ctnna1,0.0053202206210564195
mmp26,0.005311175406387958
mapk7,0.00528174796648239
mapk4,0.005259332744459737
men1,0.005229707297045069
inha,0.005222780685050599
tnk2,0.005187778529550907
e2f1,0.005179081143832724
itch,0.005147144696674792
star,0.005110767953272129
adam17,0.005108782987249863
prkacg,0.005095058090046784
prkg1,0.005083928277149089
cdc25a,0.005055751476408468
hdac9,0.005054074475201223
hey2,0.005010234058141173
bmp7,0.004967882811359703
myc,0.004951681542451421
mecom,0.00484435352543333
brca2,0.004840289706941276
hes2,0.004832233149735893
gsk3b,0.004830836306107386
mmp21,0.004825784626647851
ubr5,0.004788958074123507
stat1,0.004786533025803636
e2f4,0.004770839280904455
casp3,0.004752770825074616
cdkn1b,0.0047497870663234755
akr1c3,0.004728074689449577
mmp16,0.00468863227986332
dll1,0.004655680618253865
smad2,0.00464029493635022
thada,0.004587889582041869
hras,0.00452610975952509
mapt,0.004525916898475973
prr16,0.004514503790771953
ctbp2,0.004506277118836784
acvr1,0.004497600313396297
shbg,0.004478633767709819
e2f3,0.004427750471727955
map2k3,0.0044264410256812286
npnt,0.0044155061283096
smad3,0.004414155487301073
srd5a2,0.004411601160146672
ctbp1,0.004387895441932751
rps6,0.004384514037779068
cir1,0.004376663888137955
mmp13,0.00435955463441244
bcas3,0.004279467077962473
smarcc1,0.00425493986046413
psenen,0.004223676196258488
mmp27,0.004133963572634075
myo3a,0.0041152312597143555
bad,0.004111629679904199
tgfbr1,0.004093830185450506
afdn,0.004034803828278795
igf1r,0.003982654065956933
nek1,0.003981615940712104
msh6,0.003947043889164338
nrg3,0.0039335148868138185
gdf2,0.003929603236111902
cbfb,0.0039160503782220335
siah1,0.003907308652377438
slco1b3,0.003896836268684941
rps6ka1,0.00389320853093837
mapk14,0.003891958777412134
dnah5,0.003871639683904819
smad7,0.0038516766314140474
arid2,0.003829776830533168
smarcc2,0.0038151499627446478
sptbn1,0.0038118448354750546
rps6kb1,0.0037914512775858856
numbl,0.0037631928698778263
klrg1,0.0037567749531386475
utrn,0.0037539683592598644
ptpn22,0.003700360446311696
setd1a,0.0036889675810838816
hist1h2bc,0.003682650800396072
chek1,0.0036495681201939886
acvr2a,0.0036243189731241143
cacna2d3,0.0035881880818960203
pdgfa,0.003578059990592953
prkce,0.0035424756966899126
slc19a1,0.003537657124620581
apc,0.003532215941366999
kit,0.003525980400969207
atm,0.00349362223284465
gps2,0.003485032304100924
large1,0.003480298350237762
smad5,0.00345217741947456
spry2,0.0034436864474246473
abcc1,0.003429079526529362
mmp23b,0.0034216684304322563
map2,0.003409348032240208
itgav,0.0034085454797290657
rpgr,0.0034042176344570058
tg,0.0034021103624266085
hif1a,0.0033975546267513744
lfng,0.003397283487281387
hsd17b6,0.0033793394431378136
mapk12,0.0033498915285569896
cdk8,0.003349508815441974
abcb11,0.0033435916265469492
nt5e,0.0033300072009886344
map3k1,0.0033031067928775736
sik2,0.003272503705093018
map2k5,0.003271668318729783
ran,0.0032594663245258688
aff2,0.0032586917531034487
smad1,0.0032397417077949463
palb2,0.003231619192456913
muc16,0.003212012656435777
tsc1,0.003189859040071216
nr3c1,0.0031831526344090148
cyp3a5,0.003177831271934203
clrn2,0.0031768712160106746
plagl1,0.0031277918184343186
akt3,0.0031214249821336303
wwox,0.003120588619292392
heyl,0.0030911313399976143
nr2f1,0.0030829070335683375
rheb,0.0030609181094405358
fam20c,0.003047258011981936
mmp25,0.0030328871865397864
chek2,0.0030298574364686364
ugt2b17,0.0030288786512284315
mmp12,0.0030119550009950207
hsd17b12,0.0029840251073426456
